BookID,BookName,Author,Availability
1133,Doctor on the Brain,Gordon Richard,1
1134,Simpsons & Their Mathematical Secrets,Singh Simon,1
1135,Pattern Classification,Duda Hart,1
1136,From Beirut to Jerusalem,Friedman Thomas,1
1137,"Code Book, The",Singh Simon,1
1138,"Age of the Warrior, The",Fisk Robert,1
1139,Final Crisis,,1
1140,"Killing Joke, The",,1
1141,Flashpoint,,1
1142,Batman Earth One,,1
1143,Crisis on Infinite Earths,,1
1144,"Numbers Behind Numb3rs, The",Devlin Keith,1
1145,Superman Earth One - 1,,1
1146,Superman Earth One - 2,,1
1147,Justice League: Throne of Atlantis,,1
1148,Justice League: The Villain's Journey,,1
1149,"Death of Superman, The",,1
1150,History of the DC Universe,,1
1151,Batman: The Long Halloween,,1
1152,"Life in Letters, A",Steinbeck John,1
1153,"Information, The",Gleick James,1
1154,"Journal of Economics, vol 106 No 3",,1
1155,Elements of Information Theory,Thomas Joy,1
1156,Power Electronics - Rashid,Rashid Muhammad,1
1157,Power Electronics - Mohan,Mohan Ned,1
1158,Neural Networks,Haykin Simon,1
1159,"Grapes of Wrath, The",Steinbeck John,1
1160,Vyakti ani Valli,Deshpande P L,1
1161,Statistical Learning Theory,Vapnik Vladimir,1
1162,Empire of the Mughal - The Tainted Throne,Rutherford Alex,1
1163,Empire of the Mughal - Brothers at War,Rutherford Alex,1
1164,Empire of the Mughal - Ruler of the World,Rutherford Alex,1
1165,Empire of the Mughal - The Serpent's Tooth,Rutherford Alex,1
1166,Empire of the Mughal - Raiders from the North,Rutherford Alex,1
1167,Mossad,Baz-Zohar Michael,1
1168,Jim Corbett Omnibus,Corbett Jim,1
1169,20000 Leagues Under the Sea,Verne Jules,1
1170,Batatyachi Chal,Deshpande P L,1
1171,Hafasavnuk,Deshpande P L,1
1172,Urlasurla,Deshpande P L,1
1173,Pointers in C,Kanetkar Yashwant,1
1174,"Cathedral and the Bazaar, The",Raymond Eric,1
1175,Design with OpAmps,Franco Sergio,1
1176,Think Complexity,Downey Allen,1
1177,"Devil's Advocate, The",West Morris,1
1178,Ayn Rand Answers,Rand Ayn,1
1179,Philosophy: Who Needs It,Rand Ayn,1
1180,"World's Great Thinkers, The",,1
1181,Data Analysis with Open Source Tools,Janert Phillip,1
1182,Broca's Brain,Sagan Carl,1
1183,Men of Mathematics,Bell E T,1
1184,Oxford book of Modern Science Writing,Dawkins Richard,1
1185,"Justice, Judiciary and Democracy",Ranjan Sudhanshu,1
1186,"Arthashastra, The",Kautiyla,1
1187,We the People,Palkhivala,1
1188,We the Nation,Palkhivala,1
1189,"Courtroom Genius, The",Sorabjee,1
1190,Dongri to Dubai,Zaidi Hussain,1
1191,"History of England, Foundation",Ackroyd Peter,1
1192,City of Djinns,Dalrymple William,1
1193,India's Legal System,Nariman,1
1194,More Tears to Cry,Sassoon Jean,1
1195,"Ropemaker, The",Dickinson Peter,1
1196,Angels & Demons,Brown Dan,1
1197,"Judge, The",,1
1198,"Attorney, The",,1
1199,"Prince, The",Machiavelli,1
1200,Eyeless in Gaza,Huxley Aldous,1
1201,Tales of Beedle the Bard,Rowling J K,1
1202,Girl with the Dragon Tattoo,Larsson Steig,1
1203,Girl who kicked the Hornet's Nest,Larsson Steig,1
1204,Girl who played with Fire,Larsson Steig,1
1205,Batman Handbook,,1
1206,Murphy's Law,,1
1207,Structure and Randomness,Tao Terence,1
1208,Image Processing with MATLAB,Eddins Steve,1
1209,Animal Farm,Orwell George,1
1210,"Idiot, The",Dostoevsky Fyodor,1
1211,"Christmas Carol, A",Dickens Charles,1
